Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
Achievements/DefeatNimruza	Text	 [new]	Silence the Symphony	Verstummte Sinfonie	シンフォニーを静めろ	교향곡의 끝	Silenciador de sinfonías	终止交响乐	ดับเสียงประสาน
Achievements/DefeatOmoroth	Text	 [new]	From the Depths!	Aus der Tiefe!	深淵より来たる！	심연에서!	¡Desde las profundidades!	深渊来客！	จากเบื้องลึก!
Achievements/DefeatPyrdra	Text	 [new]	Roar of the Flames	Das Brüllen der Flammen	炎の咆哮	불의 포효	Rugido de las llamas	火之怒吼	เสียงคำรามของเปลวเพลิง
Achievements/DefeatRaAkar	Text	 [new]	Just Deserts	Stinknormale Wüste	ただ広がるは砂漠	사막밖에 없다	Solo desiertos	荒漠化治理	ก็แค่ทะเลทราย
Achievements/DefeatUrschleim	Text	 [new]	Cambrian Behemoth	Kambrisches Ungetüm	カンブリア紀のベヒーモス	캄브리아기의 거대 괴수	Mastodonte cámbrico	寒武纪巨兽	สัตว์ยักษ์ยุคแคมเบรียน
Achievements/Discover100CookBookRecipes	Text	 [new]	Certified Chef	Geprüfter Chefkoch	認定シェフ	인증된 요리사	Chef certificado	持证上岗的主厨	เชฟที่ได้รับการรับรอง
Achievements/EquipRingOfRockAndStone	Text	 [new]	Rock and Stone!	Fels und Stein!	ロック・アンド・ストーン！	락 앤 스톤!	¡Roca y piedra!	坚如磐石！	หินและหิน!
Achievements/FeedCattle	Text	 [new]	A Good Life	Ein gutes Leben	豊かな暮らし	좋은 삶	Una buena vida	怡然生活	ชีวิตดีๆ
Achievements/FirstPet	Text	 [new]	Your Very First	Dein Allererstes	初めての出会い	최초	La primera	初露头角	น้องตัวแรก
Achievements/GainOver200MovementSpeed	Text	 [new]	In a Rush	In Eile	あわてんぼう	허둥지둥	A toda prisa	风驰电掣	กำลังรีบ
Achievements/HarvestGoldenIngredient	Text	 [new]	Farmer Midas	Farmer Midas	ファーマー・ミダス	농부 마이다스	Granjero Midas	点石成金的农夫	ฟาร์มเงินฟาร์มทอง
Achievements/KeyArtCharacter	Text	 [new]	Impersonator Syndrome	Imitator-Syndrom	モノマネ症候群	닮은꼴 증후군	Síndrome del imitador	冒名顶替者综合症	สุดยอดนักเลียนแบบ
Achievements/MaxedOutCooking	Text	 [new]	Cheese it!	Alles Käse!	あさめしまえ！	요리왕	La guinda	茄子！	กินไม่ทันแล้ว!
Achievements/MaxedOutCrafting	Text	 [new]	Crafty Explorer	Pfiffiger Forscher	職人兼探検家	제작에 뛰어난 탐험가	Explorador astuto	手艺出众的探险家	นักสำรวจชอบประดิษฐ์
Achievements/MaxedOutExplosives	Text	 [new]	Explosive Mastery	Explosives Talent	爆発物の達人	폭발물 숙련	Maestría explosiva	炸药精通	ชำนาญด้านระเบิด
Achievements/MaxedOutFishing	Text	 [new]	Completely Hooked	An Schicksals Haken	一網打尽	완전히 낚아 버림	Nada me escama	愿者上钩	ปลาติดเบ็ด คนติดใจ
Achievements/MaxedOutGardening	Text	 [new]	Nature Nurturer	Natur-Nanny	自然栽培人	자연을 보살피는 자	Cultivador nato	大自然的栽培者	นักอนุรักษ์ธรรมชาติ
Achievements/MaxedOutMagic	Text	 [new]	A Wizard Is Never Late	Ein Zauberer kommt nie zu spät	魔法使いは遅れない	마법사는 늦는 법이 없다	Un mago nunca llega tarde	巫师从不迟到	พ่อมดไม่เคยสาย
Achievements/MaxedOutMelee	Text	 [new]	...Sting like a bee	... Stich wie eine Biene	…ハチのように刺す	...벌처럼 쏴라	Pica cual abeja	……像蜜蜂一样蜇人	...ต่อยหนักเหมือนผึ้ง
Achievements/MaxedOutMining	Text	 [new]	Diggy Diggy Hole	Wer andern eine Grube gräbt	せっせと掘って	파고 파는 구멍	Cavando que es gerundio	挖哈哈呀挖哈哈	ขุดไม่หยุด
Achievements/MaxedOutRange	Text	 [new]	Robin Hood	Robin Hood	ロビンフッド	로빈 후드	Robin Hood	罗宾汉	โรบินฮูด
Achievements/MaxedOutRunning	Text	 [new]	Float like a butterfly...	Tanze wie ein Schmetterling ...	蝶のように舞い...	나비처럼 날아서...	Flota cual mariposa	像蝴蝶一样飞舞……	โบยบินเหมือนผีเสื้อ...
Achievements/MaxedOutSummoning	Text	 [new]	Stay Away From The Summoner!	Komm' nicht in die Nähe des Mediums!	召喚士様に近づくな！	소환사에게서 떨어져!	¡Aléjate del invocador!	远离召唤师！	อย่าเข้าใกล้นักอัญเชิญนั่น!
Achievements/MaxedOutVitality	Text	 [new]	Health Conscious	Gesundheitsbewusst	健康志向	건강 걱정	Concienciado con la salud	珍爱生命	รักสุขภาพ
Achievements/ObtainPhantomSpark	Text	 [new]	The Phantom Spark	Der Phantomfunke	ザ・ファントムスパーク	유령의 불꽃	Chispa fantasma	幻影星火	แฟนธอมสปาร์ก
Achievements/ObtainRuneSong	Text	 [new]	The Rune Song	Das Runenlied	ザ・ルーンソング	룬의 노래	Canto rúnico	符文之歌	บทเพลงแห่งรูน
Achievements/ObtainSoulSeeker	Text	 [new]	The Soul Seeker	Der Seelensucher	ザ・ソウルシーカー	영혼 추격자	Buscador de almas	追魂镐	อีเต้อล่าวิญญาณ
Achievements/ObtainStormbringer	Text	 [new]	Wielder of Legends	Im Besitz von Legenden	伝説を携える者	전설적인 무기의 주인	Manipulador de leyendas	传奇持有者	ผู้ครองวัตถุแห่งตำนาน
Achievements/ObtainTheOracleDeck	Text	 [new]	The Heart of the Cards	Das Herz der Karten	カードのココロ	카드의 마음	Corazón de cartas	神之卡	จิตวิญญาณแห่งการ์ด
Achievements/PetColors	Text	 [new]	I want ’em all!	Ich will sie alle haben!	全色ゲットしたいぜ！	애완동물 수집가	¡Hazte con todos!	我全都要！	ต้องมีให้ครบ!
Achievements/PetMaxLevel	Text	 [new]	Pet Prodigy	Na-Tier-Talent	驚異のペット	애완동물 영재	Mascota prodigio	养宠奇才	ยอดคนเลี้ยงสัตว์
Achievements/SitOnCavelingToiletWithACrown	Text	 [new]	A Throne Fit for a King	Ein Thron für einen König	王にふさわしい玉座	왕에게 어울리는 왕좌	Trono digo de un rey	国王御座	บัลลังก์สำหรับราชา
Achievements/StormSong	Text	 [new]	A Strange Song	Ein seltsames Lied	奇妙な歌	기이한 노래	Un canto extraño	奇异曲调	เพลงประหลาด
Achievements/SummonManyMinions	Text	 [new]	Legion Commander	Legionskommandant	軍団長	군단 지휘관	Comandante de legión	军团指挥官	ผู้บัญชาการกองทหาร
Achievements/TalkToBigLarva	Text	 [new]	Gossip Group	Kaffeekränzchen	ゴシップグループ	가십 그룹	Grupo de cotilleos	八卦小团体	กลุ่มซุบซิบ
Achievements/UseWayPoint	Text	 [new]	Beam Me Up	Beam mich hoch	転送を頼む	최첨단 이동 수단	Estaba de paso	送我上去	วาร์ปฉันที
AchievementsLockedDescription/CatchStarlightNautilus	Text	 [new]	Catch a Starlight Nautilus	Sternlicht-Nautilus fangen	スターライトノーチラスを捕まえる	별빛 앵무조개를 잡으세요	Atrapa un nautilus de luz estelar	钓上一只星光鹦鹉螺	จับหอยงวงช้างแสงดาว
AchievementsLockedDescription/DefeatAtlanteanWorm	Text	 [new]	Defeat an Atlantean Worm	Bezwinge einen Atlantischen Wurm	アトラスワームを倒す	초거대 벌레를 처치하세요	Derrota a un Gusano Atlante	击败一只亚特兰蒂斯蠕虫	กำจัดหนอนแอตแลนเทียน
AchievementsLockedDescription/DefeatAzeos	Text	 [new]	Defeat Azeos the Sky Titan	Azeos den Himmelstitanen bezwingen	天空の巨鳥アゼオスを倒す	하늘 거인 아제오스를 물리치세요	Derrota a Azeos, el Titán de los Cielos	击败天空泰坦埃齐欧斯	กำจัดอะซีออส ยักษ์แห่งน่านฟ้า
AchievementsLockedDescription/DefeatCoreCommander	Text	 [new]	Defeat the Core Commander	Bezwinge den Kernkommandanten	コア・コマンダーを倒す	코어 지휘관을 물리치세요	Derrota al comandante del Núcleo	击败核心指挥官	กำจัดผู้บัญชาการแก่นพลังงาน
AchievementsLockedDescription/DefeatCrydra	Text	 [new]	Defeat Crydra the Ice Titan	Bezwinge Crydra, den Eistitanen	氷の巨竜クライドラを倒す	얼음 거인 크리드라를 물리치세요	Derrota a Crioídra, el Titán de Hielo	击败寒冰泰坦冰德拉	กำจัดไครดรา ยักษ์น้ำแข็ง
AchievementsLockedDescription/DefeatDruidra	Text	 [new]	Defeat Druidra the Wild Titan	Bezwinge Druidra, den Wildtitanen	森の巨竜ドルイドラを倒す	야생 거인 드루이드라를 물리치세요	Derrota a Druidra, el Titán Salvaje	击败荒野泰坦林德拉	กำจัดดรูอิดรา ยักษ์พงไพร
AchievementsLockedDescription/DefeatGhorm	Text	 [new]	Defeat Ghorm the Devourer	Ghorm den Verschlinger bezwingen	大喰らいのゴームを倒す	포식자 고름을 물리치세요	Derrota a Ghorm, el Devorador	击败吞噬者戈尔姆	กำจัดกอร์มจอมเขมือบ
AchievementsLockedDescription/DefeatGlurch	Text	 [new]	Defeat Glurch the Abominous Mass	Glurch die Abscheuliche Masse bezwingen	奇怪生命体グラーチを倒す	혐오스러운 덩어리 글러치를 물리치세요	Derrota a Glurch, la Masa Abominable	击败恶形巨物戈勒蚩	กำจัดเกลิร์ช ก้อนเนื้อปิศาจ
AchievementsLockedDescription/DefeatHivemother	Text	 [new]	Defeat the Hive Mother	Die Nestmutter bezwingen	ハイヴマザーを倒す	군집의 어머니를 물리치세요	Derrota a la Madre de la Colmena	击败虫巢之母	กำจัดรวงผึ้งมารดา
AchievementsLockedDescription/DefeatIgneous	Text	 [new]	Defeat Igneous the Molten Mass	Igneous die Geschmolzene Masse bezwingen	溶岩の塊イグニアスを倒す	녹아내린 덩어리 이그니우스를 물리치세요	Derrota a Igneous, la Masa Fundida	击败熔融巨物伊格尼欧斯	กำจัดอัคนีอุส สไลม์หลอมเหลว
AchievementsLockedDescription/DefeatIvy	Text	 [new]	Defeat Ivy the Poisonous Mass	Ivy die Giftige Masse bezwingen	猛毒生命体アイヴィーを倒す	유독성 덩어리 덩굴을 물리치세요	Derrota a Ivy, la Masa Venenosa	击败带毒巨物艾薇	กำจัดไอวี่ สไลม์พิษ
AchievementsLockedDescription/DefeatKingSlime	Text	 [new]	Defeat King Slime	Schleimkönig bezwingen	キングスライムを倒す	대왕 슬라임을 물리치세요	Derrota al Rey Baba	击败史莱姆王	กำจัดคิงสไลม์
AchievementsLockedDescription/DefeatMalugaz	Text	 [new]	Defeat Malugaz the Corrupted	Malugaz den Korrupten bezwingen	頽廃の王マルガズを倒す	타락한 말루가즈를 물리치세요	Derrota a Malugaz, el Corrupto	击败堕落者玛鲁格兹	กำจัดมาลูเกซ ผู้แปดเปื้อน
AchievementsLockedDescription/DefeatMorpha	Text	 [new]	Defeat Morpha the Aquatic Mass	Morpha die Aquatische Masse bezwingen	水棲生命体モルファを倒す	축축한 덩어리 모르파를 물리치세요	Derrota a Morpha, la Masa Acuática	击败水栖巨物摩尔法	กำจัดมอร์ฟา สไลม์ใต้สมุทร
AchievementsLockedDescription/DefeatNimruza	Text	 [new]	Defeat Nimruza, Queen of the Burrowed Sands	Bezwinge Nimruza, Königin der Verborgenen Sande	砂潜りの女王ニムルザを倒す	파묻힌 모래의 여왕 님루자를 물리치세요	Derrota a Nimruza, Reina de las Arenas Excavadas	击败潜沙女王尼姆鲁扎	กำจัดนิมรูซา ราชินีแห่งโพรงทราย
AchievementsLockedDescription/DefeatOmoroth	Text	 [new]	Defeat Omoroth the Sea Titan	Omoroth den Meerestitanen bezwingen	海の巨獣オモロスを倒す	바다 거인 오모로스를 물리치세요	Derrota a Omoroth, el Titán de los Mares	击败海洋泰坦欧墨若斯	กำจัดโอโมรอธ ยักษ์แห่งท้องทะเล
AchievementsLockedDescription/DefeatPyrdra	Text	 [new]	Defeat Pyrdra the Fire Titan	Bezwinge Pyrdra, den Feuertitanen	炎の巨竜ファイドラを倒す	화염 거인 파이드라를 물리치세요	Derrota a Piroídra, el Titán de Fuego	击败火焰泰坦炎德拉	กำจัดไพร์ดรา ยักษ์เพลิง
AchievementsLockedDescription/DefeatRaAkar	Text	 [new]	Defeat Ra-Akar the Sand Titan	Ra-Akar den Sandtitanen bezwingen	砂の巨獣ラ・アカールを倒す	모래 거인 라-아카르를 물리치세요	Derrota a Ra-Akar, el Titán de Arena	击败黄沙泰坦拉阿卡尔	กำจัดรา-อะคาร์ ยักษ์ทะเลทราย
AchievementsLockedDescription/DefeatUrschleim	Text	 [new]	Defeat Urschleim	Bezwinge den Urschleim	ウルシュライムを倒す	태초슬라임을 물리치세요	Derrota a Urschleim	击败原始史莱姆	กำจัดอูร์ชไลม์
AchievementsLockedDescription/Discover100CookBookRecipes	Text	 [new]	Discover 100 recipes in the cook book	100 Rezepte im Kochbuch entdecken	料理本で100レシピ発見する	요리책에서 레시피 100개를 찾아내세요	Descubre 100 recetas en el libro de cocina	发现烹饪书中的 100 种菜谱	ค้นพบสูตรอาหาร 100 สูตรในหนังสือทำอาหาร
AchievementsLockedDescription/EquipRingOfRockAndStone	Text	 [new]	Equip the Ring of Rock and Ring of Stone	Ring der Felsen und Ring der Steine ausrüsten	岩のリングと石のリングを装備する	암석 반지와 돌 반지를 장착하세요	Equipa el anillo de roca y el anillo de piedra	装备岩石戒指和石头戒指	ติดตั้งหินวงแหวนและแหวนหิน
AchievementsLockedDescription/FeedCattle	Text	 [new]	Feed cattle	Füttere ein Nutztier	畜産動物にエサを与える	가축에게 먹이를 주세요	Da de comer al ganado	饲喂家畜	ให้อาหารปศุสัตว์
AchievementsLockedDescription/FirstPet	Text	 [new]	Hatch your first pet from an egg	Brüte dein erstes Haustier aus einem Ei aus	初めてのペットを孵化させる	알에서 첫 애완동물을 부화시키세요	Haz eclosionar tu primera mascota de un huevo	第一次用宠物蛋孵化出宠物	ฟักไข่สัตว์เลี้ยงตัวแรก
AchievementsLockedDescription/GainOver200MovementSpeed	Text	 [new]	Gain over 200% movement speed	200 % Bewegungsgeschwindigkeit erhalten	移動スピードを200%以上上昇させる	이동 속도 200% 이상을 획득하세요	Consigue una velocidad de movimiento de más del 200 %	获得超过 200% 的移动速度	รับความเร็วเคลื่อนที่มากกว่า 200%
AchievementsLockedDescription/HarvestGoldenIngredient	Text	 [new]	Harvest a golden plant	Goldene Pflanze ernten	金色の植物を収穫する	금색 식물을 수확하세요	Cosecha una planta dorada	收割一株金色植物	เก็บเกี่ยวพืชสีทอง
AchievementsLockedDescription/KeyArtCharacter	Text	 [new]	Dress like a character from the official illustrations	Verkleide dich wie eine Figur aus den offiziellen Illustrationen	公式イラストに登場するキャラクターになりきろう	공식 일러스트의 캐릭터처럼 옷을 입으세요	Viste como un personaje de ilustraciones oficiales	打扮得像官方插图里的角色	แต่งตัวแบบตัวละครจากภาพประกอบอย่างเป็นทางการ
AchievementsLockedDescription/MaxedOutCooking	Text	 [new]	Gain 100 skill points in cooking	Erhalte 100 Fertigkeitspunkte für Kochen	調理で100スキルポイント獲得する	요리에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en cocina	获得 100 点烹饪技能点数	รับแต้มสกิลการปรุงอาหาร 100 แต้ม
AchievementsLockedDescription/MaxedOutCrafting	Text	 [new]	Gain 100 skill points in crafting	Erhalte 100 Fertigkeitspunkte für Fertigung	製作で100スキルポイント獲得する	제작에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en fabricación	获得 100 点制作技能点数	รับแต้มสกิลการประดิษฐ์ 100 แต้ม
AchievementsLockedDescription/MaxedOutExplosives	Text	 [new]	Gain 100 skill points in explosives	Erhalte 100 Fertigkeitspunkte für Sprengstoff	爆発物で100スキルポイント獲得する	폭발물에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en explosivos	获得 100 点炸药技能点数	มีแต้มสกิลระเบิด 100 แต้ม
AchievementsLockedDescription/MaxedOutFishing	Text	 [new]	Gain 100 skill points in fishing	Erhalte 100 Fertigkeitspunkte für Angeln	釣りで100スキルポイント獲得する	낚시에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en pesca	获得 100 点钓鱼技能点数	รับแต้มสกิลการตกปลา 100 แต้ม
AchievementsLockedDescription/MaxedOutGardening	Text	 [new]	Gain 100 skill points in gardening	Erhalte 100 Fertigkeitspunkte für Gärtnern	ガーデニングで100スキルポイント獲得する	원예에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en jardinería	获得 100 点园艺技能点数	รับแต้มสกิลการทำสวน 100 แต้ม
AchievementsLockedDescription/MaxedOutMagic	Text	 [new]	Gain 100 skill points in magic	Erhalte 100 Fertigkeitspunkte der Magie	魔法で100スキルポイント獲得する	마법에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en magia	获得 100 点魔法技能点数	มีแต้มสกิลเวท 100 แต้ม
AchievementsLockedDescription/MaxedOutMelee	Text	 [new]	Gain 100 skill points in melee	Erhalte 100 Fertigkeitspunkte für Nahkampf	近接で100スキルポイント獲得する	근접에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en combate cuerpo a cuerpo	获得 100 点近战技能点数	รับแต้มสกิลระยะประชิด 100 แต้ม
AchievementsLockedDescription/MaxedOutMining	Text	 [new]	Gain 100 skill points in mining	Erhalte 100 Fertigkeitspunkte für Bergbau	採掘で100スキルポイント獲得する	채굴에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en minería	获得 100 点挖掘技能点数	มีแต้มสกิลการทำเหมือง 100 แต้ม
AchievementsLockedDescription/MaxedOutRange	Text	 [new]	Gain 100 skill points in range	Erhalte 100 Fertigkeitspunkte für Fernkampf	遠距離で100スキルポイント獲得する	원거리에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en combate a distancia	获得 100 点远程技能点数	รับแต้มสกิลระยะไกล 100 แต้ม
AchievementsLockedDescription/MaxedOutRunning	Text	 [new]	Gain 100 skill points in running	Erhalte 100 Fertigkeitspunkte für Laufen	ダッシュで100スキルポイント獲得する	달리기에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en carrera	获得 100 点奔跑技能点数	รับแต้มสกิลวิ่ง 100 แต้ม
AchievementsLockedDescription/MaxedOutSummoning	Text	 [new]	Gain 100 skill points in summoning	Erhalte 100 Fertigkeitspunkte der Beschwörung	召喚で100スキルポイント獲得する	소환에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en invocación	获得 100 点召唤技能点数	มีแต้มสกิลอัญเชิญ 100 แต้ม
AchievementsLockedDescription/MaxedOutVitality	Text	 [new]	Gain 100 skill points in vitality	Erhalte 100 Fertigkeitspunkte für Vitalität	活力で100スキルポイント獲得する	활력에서 스킬 포인트 100을 얻으세요	Consigue 100 puntos de habilidad en vitalidad	获得 100 点活力技能点数	รับแต้มสกิลกำลังกาย 100 แต้ม
AchievementsLockedDescription/ObtainPhantomSpark	Text	 [new]	Obtain Phantom Spark	Phantomfunken erhalten	ファントムスパークを入手する	유령의 불꽃을 획득하세요	Consigue Chispa fantasma	得到幻影星火	ได้รับแฟนธอมสปาร์ก
AchievementsLockedDescription/ObtainRuneSong	Text	 [new]	Obtain Rune Song	Runenlied erhalten	ルーンソングを入手する	룬의 노래를 획득하세요	Consigue Canto rúnico	得到符文之歌	ได้รับบทเพลงแห่งรูน
AchievementsLockedDescription/ObtainSoulSeeker	Text	 [new]	Obtain Soul Seeker	Seelensucher erhalten	ソウルシーカーを入手する	영혼 추격자를 획득하세요	Consigue Buscador de almas	得到追魂镐	ได้รับอีเต้อล่าวิญญาณ
AchievementsLockedDescription/ObtainStormbringer	Text	 [new]	Obtain Stormbringer	Erhalte Sturmbringer	ストームブリンガーを入手する	스톰브링어를 획득하세요	Consigue Portatormentas	得到闪电冲击枪	ได้รับสตอร์มบริงเกอร์
AchievementsLockedDescription/ObtainTheOracleDeck	Text	 [new]	Obtain the Oracle Card deck	Orakel-Deck erhalten	オラクルカードデッキを入手する	신탁 카드 덱을 획득하세요	Consigue el mazo de cartas de oráculo	得到神谕卡组	ได้รับสำรับการ์ดออราเคิล
AchievementsLockedDescription/PetColors	Text	 [new]	Store all color variations of one pet type in a chest	Lagere alle Farbvariationen einer Haustier-Art in einer Kiste	ペット一種の全カラーを宝箱に保管する	한 애완동물 모든 색상 유형을 같은 상자 안에 보관하세요	Almacena en un cofre todas las variantes de color de un tipo de mascota	将同一种宠物所有颜色的变体存放在同一只箱子里	เก็บสัตว์เลี้ยงหนึ่งประเภทครบทุกสีในหีบ
AchievementsLockedDescription/PetMaxLevel	Text	 [new]	Reach max level on a pet	Erreiche die maximale Stufe eines Haustiers	ペットのレベルを最大にする	애완동물의 레벨을 최대로 올리세요	Alcanza el nivel máximo con una mascota	将一只宠物升到最高等级	สัตว์เลี้ยงถึงเลเวลสูงสุด
AchievementsLockedDescription/PlantCherryTree	Text	 [new]	Plant 10 Cherry Trees	10 Kirschbäume pflanzen	桜の木を10本植える	벚나무 10그루를 심으세요	Planta 10 árboles sakura	种植 10 棵樱花树	ปลูกต้นซากุระ 10 ต้น
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text	 [new]	Sit on a Caveling Toilet while wearing a crown	Mit einer Krone auf dem Kopf auf dem Grottling-Klo sitzen	王冠をかぶってケイヴリングのトイレに座る	왕관을 쓴 채로 동굴인 변기에 앉으세요	Siéntate en un retrete cavernícola llevando una corona	戴着皇冠坐在穴居者马桶上	นั่งบนสุขภัณฑ์มนุษย์ถ้ำขณะสวมมงกุฎ
AchievementsLockedDescription/StormSong	Text	 [new]	Play the Tune of Tempest	Spiele die Melodie des Unwetters	嵐のしらべを演奏する	폭풍의 곡을 연주하세요	Toca la Tonada de la Tempestad	演奏《暴风雨之曲》	เล่นท่วงทำนองแห่งพายุ
AchievementsLockedDescription/SummonManyMinions	Text	 [new]	Have 8 or more active minions	Besitze 8 oder mehr aktive Unterlinge	8体以上のアクティブなミニオンを従える	8마리 이상의 소환수를 보유하세요	Ten 8 o más secuaces activos	拥有 8 个或以上活跃随从	มีลูกสมุนที่ใช้งานอยู่ 8 ตัวหรือมากกว่า
AchievementsLockedDescription/TalkToBigLarva	Text	 [new]	Talk to a Big Larva	Mit einer großen Larve sprechen	巨大幼虫に話しかける	거대한 애벌레와 대화하세요	Habla con una gran larva	与大型幼虫对话	คุยกับหนอนแมลงใหญ่
AchievementsLockedDescription/UseWayPoint	Text	 [new]	Use a waypoint	Verwende einen Wegpunkt	ウェイポイントを使用する	웨이포인트를 사용하세요	Usa un punto de paso	使用路径点	ใช้ทางลัด
AchievementsUnlockedDescription/CatchStarlightNautilus	Text	 [new]	Caught a Starlight Nautilus	Sternlicht-Nautilus gefangen	スターライトノーチラスを捕まえた	별빛 앵무조개를 잡았습니다	Has atrapado un nautilus de luz estelar	钓上了一只星光鹦鹉螺	จับหอยงวงช้างแสงดาวแล้ว
AchievementsUnlockedDescription/DefeatAtlanteanWorm	Text	 [new]	Defeated an Atlantean Worm	Einen Atlantischen Wurm bezwungen	アトラスワームを倒した	초거대 벌레를 처치했습니다	Has derrotado a un Gusano Atlante	击败了一只亚特兰蒂斯蠕虫	กำจัดหนอนแอตแลนเทียนแล้ว
AchievementsUnlockedDescription/DefeatAzeos	Text	 [new]	Defeated Azeos the Sky Titan	Azeos der Himmelstitan, besiegt	天空の巨鳥アゼオスを倒した	하늘 거인 아제오스를 물리쳤습니다	Has derrotado a Azeos, el Titán de los Cielos	击败了天空泰坦埃齐欧斯	กำจัดอะซีออส ยักษ์แห่งน่านฟ้าแล้ว
AchievementsUnlockedDescription/DefeatCoreCommander	Text	 [new]	Defeated the Core Commander	Den Kernkommandanten bezwungen	コア・コマンダーを倒した	코어 지휘관을 물리쳤습니다	Has derrotado al comandante del Núcleo	击败了核心指挥官	กำจัดผู้บัญชาการแก่นพลังงานแล้ว
